date,bc_aod_regional,temperature_c,total_precip_mm,snowfall_mm,rainfall_mm,year,month,day_of_year,albedo_mean,predicted_albedo,residuals,leverage,cooks_distance,studentized_residuals
2024-08-15,0.01831484572,13.13222148,6.61881268,0.0,6.61881268,2024,8,228,0.42935207972982764,0.26415222230742824,0.1651998574223994,0.009249226838958657,0.0031467521924326727,1.2982124462485625
2022-09-15,0.01829230844,6.651979701,2.396432497,0.0,2.396432497,2022,9,258,0.20366666666666666,0.3014206121845387,-0.09775394551787203,0.008749271047832404,0.0010412140946046292,-0.7679993381025975
2023-08-30,0.01826053455,12.81636899,8.716077233,0.0,8.716077233,2023,8,242,0.16066666666666665,0.2590287468114963,-0.09836208014482964,0.015082491769688875,0.0018407525338868165,-0.7752576956740624
2023-08-16,0.01824653263,17.98869349,0.001132488251,0.0,0.001132488251,2023,8,228,0.13086359593744298,0.26613436392874906,-0.13527076799130608,0.01203164209616199,0.002760027195012198,-1.0645124577827891
2024-09-11,0.01765464066,6.523477809,8.682030439,0.0,8.682030439,2024,9,255,0.1859230769230769,0.283651963950929,-0.0977288870278521,0.01710208635251005,0.002068925205338576,-0.7710580161488875
2024-08-06,0.01761371131,11.15372047,13.33796978,0.0,13.33796978,2024,8,219,0.26425,0.25211104296836273,0.012138957031637254,0.03533753925125247,6.847229923895981e-05,0.09667451348556692
2024-09-08,0.01668803316,15.82061793,0.01562152903,0.0,0.01562152903,2024,9,252,0.18391134124118555,0.2764256675197405,-0.09251432627855496,0.0077357221322720444,0.0008228690828608288,-0.7264632050105362
2023-07-05,0.01663608463,8.395312881,2.607032657,0.0,2.607032657,2023,7,186,0.24984615384615386,0.29653766789322633,-0.046691514047072474,0.005560086319949927,0.00014999161095011185,-0.3662410273215179
2024-08-14,0.01643776999,12.54507281,5.72066009,0.0,5.72066009,2024,8,227,0.316,0.2717216904808568,0.04427830951914319,0.006965497446941069,0.00016946192714460386,0.34755790683424354
2024-08-02,0.01601830784,19.56034813,0.3269493579,0.0,0.3269493579,2024,8,215,0.2209327928578404,0.26234632050532775,-0.04141352764748735,0.016159683963702275,0.0003503762823757641,-0.32658649995469
2023-09-01,0.01570404424,9.570472972,13.39303353,0.0,13.39303353,2023,9,244,0.1781256349425155,0.26056995471032035,-0.08244431976780486,0.03548435316892956,0.0031725350781323823,-0.6566355789008205
2023-07-27,0.01564597758,9.337110138,0.9320616722,0.0,0.9320616722,2023,7,208,0.18764019469737706,0.2994810778575418,-0.11184088316016474,0.0052059832527170625,0.0008052008591478327,-0.8771064725916621
2024-08-23,0.01524870192,12.39799525,1.799689431,0.0,1.799689431,2024,8,236,0.2257550558958096,0.28587999852654866,-0.06012494263073906,0.0035931216165241624,0.00016009377651422715,-0.4711450437028542
2023-07-09,0.0148021308,15.30920499,0.5713742167,0.0,0.5713742167,2023,7,190,0.2631088900530451,0.2792944616547259,-0.01618557160168077,0.006549039568101742,2.1271956948054012e-05,-0.12702030015088067
2024-08-10,0.01470545482,11.50664419,5.275249481,0.0,5.275249481,2024,8,223,0.34040937997881104,0.2794073804425553,0.061001999536255735,0.0058432015359221046,0.00026921288968458773,0.4785583932503433
2024-08-08,0.01443716886,8.909821447,1.413464546,0.0,1.413464546,2024,8,221,0.3470172913674621,0.30131287517454197,0.04570441619292015,0.005197095456398529,0.00013423616997628525,0.35843297244857575
2024-07-18,0.01437940418,17.82499657,4.210519791,0.0,4.210519791,2024,7,200,0.3459230769230769,0.25933832793511774,0.08658474898795915,0.013403239135183168,0.001263222394745868,0.6818516093747603
2024-08-24,0.01431675266,7.814149475,14.8909688,0.0,14.8909688,2024,8,237,0.23842857142857143,0.2645548137248769,-0.026126242296305446,0.04541467903766725,0.0004162816452587991,-0.20916445562903915
2023-08-25,0.01418338537,9.613717016,0.1591593027,0.0,0.1591593027,2023,8,237,0.16077071067457346,0.3028401648138195,-0.14206945413924602,0.005639086313043756,0.0014086032706437026,-1.114415130068788
2024-08-11,0.01372033174,10.77491468,2.438375354,0.0,2.438375354,2024,8,224,0.31310477458331026,0.2921779423706862,0.02092683221262409,0.003537572204404375,1.9092247584091788e-05,0.16398017234143375
2024-08-12,0.01368928634,11.59855042,2.881133556,0.0,2.881133556,2024,8,225,0.22546101859542433,0.2877745760614462,-0.06231355746602185,0.003543507528354173,0.00016956975204907972,-0.48828309132426667
2023-07-26,0.01323037923,8.2347332,0.9195656622,0.0,0.9195656622,2023,7,207,0.15733333333333333,0.30704445350817844,-0.1497111201748451,0.006378021285430868,0.0017718147851045775,-1.1747941505236175
2023-07-23,0.01302515336,17.29650841,0.03050267685,0.0,0.03050267685,2023,7,204,0.16203506115213592,0.275951394392184,-0.1139163332400481,0.010554851293757788,0.0017120138863668069,-0.8957946119648975
2023-06-09,0.01300354319,12.43541489,1.9426018,0.0,1.9426018,2023,6,160,0.347,0.2884440734625785,0.05855592653742148,0.003609856857822073,0.00015255957376766313,0.45885393057364726
2023-08-09,0.01285335918,10.82429911,9.756004108,0.0,9.756004108,2023,8,221,0.150125,0.2709176131685248,-0.1207926131685248,0.01845342012959416,0.003419813408826237,-0.9536812186160281
2023-07-03,0.01261685181,7.890260315,0.6889998912,0.0,0.6889998912,2023,7,184,0.24996878637619996,0.30990057899083556,-0.059931792614635604,0.007090154695871454,0.00031609471103684805,-0.47045779617103783
2023-08-27,0.01203964698,13.89593023,0.007480382919,0.0,0.007480382919,2023,8,239,0.16411816172905552,0.29019188456933237,-0.12607372284027685,0.005502718566198727,0.0010821460336517023,-0.9888742940733264
2022-08-19,0.01190440921,18.75165393,0.03471789205,0.0,0.03471789205,2022,8,231,0.2504166666666667,0.2720321862682197,-0.021615519601553,0.014301780464423375,8.415891712029354e-05,-0.17029896321207966
2024-07-10,0.01164836948,19.85230408,0.2126395702,0.0,0.2126395702,2024,7,192,0.4534680826937216,0.26770805373524553,0.18576002895847604,0.017595861148964116,0.00769841494234961,1.4659713696915355
2023-07-21,0.011142653,14.71577733,0.682067871,0.0,0.682067871,2023,7,202,0.19641356525236056,0.2863078180095699,-0.08989425275720933,0.005898459153853762,0.0005902113434614625,-0.7052366333305867
2022-09-29,0.01100716492,10.88955269,1.321974397,0.0,1.321974397,2022,9,272,0.16922222222222225,0.2989415625556384,-0.12971934033341617,0.0037912015104585497,0.0007865968478693719,-1.016594732847145
2024-08-13,0.01082870873,11.04884682,0.7190257311,0.0,0.7190257311,2024,8,226,0.316,0.3004283182088796,0.015571681791120395,0.004128297893675103,1.235099371841709e-05,0.12205403308824249
2023-07-29,0.01072137069,10.93999507,3.106401325,0.0,3.106401325,2023,7,210,0.14839835996046144,0.2937167434259473,-0.14531838346548584,0.003825699905724454,0.0009962032769056642,-1.1388622608123273
2023-07-11,0.01064000067,10.68010292,6.340054361,0.0,6.340054361,2023,7,192,0.2215,0.28495953600021845,-0.06345953600021845,0.008221238669410071,0.00041187748263462096,-0.4984341621301782
2024-09-13,0.01063845818,5.719855881,2.464741468,0.0,2.464741468,2024,9,257,0.18525,0.3154237094614352,-0.13017370946143522,0.010053320138123378,0.0021271547380509485,-1.0233770877046278
2022-08-16,0.01046320429,16.52978541,0.6213396787,0.0,0.6213396787,2022,8,228,0.26745547391121505,0.2806192646004526,-0.013163790689237564,0.008897961402748338,1.9208008148151475e-05,-0.10342846844390034
